filename,line_number,orig_segments,trans_segments,orig_text,trans_text
adv_cidol-amao-3-000_01.txt,6,2,1,麻央先輩、相談に乗ってくださって\nありがとうございました！,麻央学姐，谢谢你愿意听我商量！
adv_cidol-amao-3-000_01.txt,13,2,1,なに、先輩として\n当然のことをしたまでさ。,没什么，这只是作为学姐应尽的责任。
adv_cidol-amao-3-000_01.txt,86,2,1,この楽曲は、\n可愛くて、カッコイイ――,这首曲子既可爱又帅气——
adv_cidol-amao-3-001_01.txt,162,2,1,プロデューサーは、\nなにか思いつきますか？,制作人有什么好主意吗？
adv_cidol-amao-3-001_02.txt,193,2,1,いっそのこと、\n全部のせにしようかなって。,干脆全都实现好了。
adv_cidol-amao-3-002_01.txt,36,2,1,それで、新たなファンの方々も\n増えてきたところで、,随着新粉丝不断增加，
adv_cidol-amao-3-002_01.txt,83,2,1,最高にカッコいいボクを\n見せてあげますよ。,最帅气的一面给大家看。
adv_cidol-amao-3-002_01.txt,88,2,1,はい。本来の可憐さを十分に\n表現できるようになったからこそ、,好的。
adv_cidol-amao-3-002_02.txt,45,2,1,……ああ、木の上に\n引っかかってしまったんだね。,...啊，挂到树上了是吧。
adv_cidol-amao-3-002_02.txt,276,2,1,……ん、わかった。\nそれじゃ、お願いするよ。,...嗯，知道了。
adv_cidol-amao-3-002_03.txt,30,2,1,えー。なんでも頼んでいいって\n言ったのに……,诶～明明说什么都可以点的...
adv_cidol-amao-3-002_03.txt,61,2,1,アンケートって、なんだか\n緊張しますよね。ええっと……,每次看问卷都莫名紧张呢...嗯...
adv_cidol-amao-3-002_03.txt,69,2,1,麻央ちゃん、ライブ、\nとーってもよかったです！,"""麻央酱的live超级棒！"""
adv_cidol-amao-3-002_03.txt,146,2,1,ええっと……\nたしかに猫は探しましたけど。,呃...确实找过猫...
adv_cidol-amao-3-007_02.txt,24,2,1,それはもう、\n憧れの楽曲ですからね。,那可是我向往已久的歌曲呢。
adv_cidol-amao-3-007_02.txt,81,2,1,レッスンパートナーを\n付けましょう。,给你安排个练习搭档吧。
adv_cidol-amao-3-007_02.txt,94,2,1,経験者って――\nもしかして、星南会長？,原唱...难道说是星南会长？
adv_cidol-amao-3-007_02.txt,154,2,1,麻央さんは振り付けを\nほぼマスターしていますが、,虽然麻央已经基本掌握了动作，
adv_cidol-amao-3-007_03.txt,39,2,1,憧れの『Campus mode!!』を\n歌えるなんて――,演唱憧憬已久的《Campus mode!!》——
adv_cidol-amao-3-007_03.txt,108,3,2,『Campus mode!!』は、\n先輩たちの想いを\n受け継いできた楽曲だから、,因为《Campus mode!!》是\n传承了前辈们心意的歌曲，
adv_cidol-amao-3-007_03.txt,121,2,1,今日のステージに足を運んで\nくれたファンの中にも、,今天来看演出的粉丝里，
adv_cidol-amao-3-007_03.txt,129,3,2,『Campus mode!!』を\n着ることになる子が\nいるかもしれませんね。,穿上《Campus mode!!》\n的演出服呢。
adv_cidol-amao-3-009_01.txt,52,2,1,ボクには似合わないって、\n思うようになって――,开始觉得不适合我——
adv_cidol-amao-3-009_02.txt,37,2,1,すぐに繕えるように\nしておかなければなりませんから。,必须随时都能立刻修补好。
adv_cidol-amao-3-009_02.txt,109,2,1,そうですね。最適な配置の\nバランスを考えるのは、,是啊。思考最佳摆放的平衡感，
adv_cidol-amao-3-009_02.txt,170,2,1,人形とお芝居ごっこしたりして、\nよく遊んでましたね。,拿着人偶玩过家家。
adv_cidol-amao-3-009_03.txt,37,2,1,ありがとう。今日はめいっぱい、\n楽しんでいってね。,谢谢。今天要尽情享受哦。
adv_cidol-fktn-3-000_02.txt,164,2,1,納得できない？　じゃあ、\nもう少し言わせてもらうけど。,还不明白？那我再说清楚点。
adv_cidol-fktn-3-000_02.txt,211,2,1,でしょ？　なら、\n曲にシンクロできない理由は明らかね。,对吧？那问题就很明显了。
adv_cidol-fktn-3-000_03.txt,46,2,1,幾つかのハードルを\n越える必要があるのですが。,需要跨越几道门槛。
adv_cidol-fktn-3-000_03.txt,53,2,1,このために学園に入った\nまでありますよあたし！,我就是为了这个才进学院的啊！
adv_cidol-fktn-3-000_03.txt,136,2,1,それで、あたしのグッズとかＣＤとか\nいっぱい買ってもらって！,然后买爆我的周边和CD！
adv_cidol-fktn-3-001_01.txt,79,2,1,申し訳ない気持ちに\nなったりしてたんです。説明おわり。,陷入自我反省的情绪里。说明完毕。
adv_cidol-fktn-3-001_01.txt,140,2,1,あたしのライブに\n来てくれた人たちなんです。,来看我演唱会的观众啊。
adv_cidol-fktn-3-001_02.txt,139,3,2,なんとか本音を知りたかったので、\n一人ひとり、調べられるだけ\n調べました。,为了探知真实想法，\n我尽可能逐个进行了调查。
adv_cidol-fktn-3-001_03.txt,167,2,1,それ、インタビューでは\n絶対に言わないでくださいね。,这个...请千万别在采访里说。
adv_cidol-fktn-3-006_02.txt,28,2,1,一方で、ファンにイベントを\n楽しんでもらおうとするなら――,反过来想，要让粉丝享受活动的话——
adv_cidol-fktn-3-006_03.txt,19,3,2,もうすこし進むと、\n有名なイルミネーションスポットが\n見えてきますよ。,再往前走一点\n就能看到著名的灯光秀景点哦。
adv_cidol-fktn-3-007_01.txt,14,2,1,プロデューサーからの\n熱烈なアプローチっ――,制作人先生热情的示好方式——
adv_cidol-fktn-3-007_01.txt,22,2,1,お～、自らハードルを\n上げましたね……？,哦～主动提高难度了呀……？
adv_cidol-fktn-3-007_01.txt,35,2,1,ウワーッ！　\nこ、これッ――もしかして！,哇啊啊！这、这是——难道说！
adv_cidol-fktn-3-007_01.txt,98,2,1,『<r\=スペシャル>特別な</r>ファンサ』を\n身につけましょう。,"来掌握""特别版粉丝互动""吧。"
adv_cidol-fktn-3-007_02.txt,370,2,1,またカッコつけて謎めいた\n言い方するぅ～。,又开始装酷说些故弄玄虚的话～
