id,name,text,trans
0000000000000,麻央,うぅ……ん。\nうぅ～ん……,呜……嗯。\n唔～嗯……
0000000000000,{user},すごく悩んでいますね。\nどうしたんですか？,看起来相当烦恼呢。\n发生什么事了？
0000000000000,麻央,いえ、ばかみたいな\n悩みなんですけど……,不……虽然是很像傻瓜一样的\n烦恼啦……
0000000000000,麻央,あそこに新しいアイスクリーム\nショップができてるんですよね。,那边新开了家\n冰淇淋店对吧……
0000000000000,麻央,ううう～～～ん……,呜呜～～～嗯……
select,,行けばいいのでは,去吃就好了吧
select,,付き添い\nましょうか？,我陪你去\n怎么样？
select,,買って\nきましょうか,我帮你\n买来吧
0000000000000,麻央,でも、ほら！\nイメージがあるじゃないですか！,但是你看！\n不是有形象设定嘛！
0000000000000,麻央,アイスで食べていいのは\nアフォガードくらいです！,能吃的冰淇淋\n只有阿芙佳朵那种！
0000000000000,{user},そのイメージを払拭するのが\n課題なのですが。,打破这种固有印象\n正是我们的课题呢。
0000000000000,麻央,うっ……た、たしかに……\nでも……でもっ……,呜……确、确实……\n但是……可是……
0000000000000,麻央,そういう問題じゃなく、\nイメージが……,不是这个问题，\n是形象……
0000000000000,{user},レッスンの一環とでも言えば\n大丈夫でしょう。,就当作是训练课程的一部分\n就没问题了吧。
0000000000000,麻央,っ！　そ、そうだ……レッスンなら、\nイメージと違ったものを食べても……,啊！对、对啊……如果是训练的话，\n就算吃不符合形象的东西也……
0000000000000,麻央,プロデューサー、\nそれ、お願いしていいですかっ！,制作人，\n那个，可以拜托你吗！
0000000000000,麻央,えっ……い、いいんですか？,诶……真、真的可以吗？
0000000000000,{user},イメージを気にしている\nのはわかってますから。,我知道你一直在意\n形象问题。
0000000000000,麻央,プ、プロデューサー……,制、制作人……
0000000000000,麻央,ありがとうございますっ！,太感谢了！
info,adv_pevent_001_amao_activity_019.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
