id,name,text,trans
0000000000000,ことね,あれっ？？\n今日って何日だっけ……,咦？？\n今天几号来着……
0000000000000,ことね,あ～～～～っ！！！！！\n今日特売の日じゃんッ！,啊～～～～！！！！！\n今天不是特卖日吗！
0000000000000,ことね,プロデューサー、そこの\nスーパー寄りましょ、スーパー！,制作人，我们顺路去\n那家超市吧，超市！
select,,手伝い\nましょうか？,需要帮忙\n吗？
select,,店から絶叫が……,店里传来尖叫……
select,,詳しいんですね,您真了解呢
0000000000000,ことね,えっ、ホントですか？,诶，真的吗？
0000000000000,{user},特売ということは、\n多めに買うんですよね？,既然是特卖，\n要买很多对吧？
0000000000000,ことね,さっすがプロデューサァ♪\nわかってる～。,不愧是制作人♪\n很懂嘛～。
0000000000000,ことね,じゃ、早く行きますよ！！\n特売は戦争ですから！！,那赶紧出发吧！！\n特卖就是战争啊！！
0000000000000,ことね,おっ、プロデューサー\n気になっちゃいますぅ～？？,哦～制作人\n开始感兴趣了～？？
0000000000000,ことね,きっと楽しいですよ～。\nアトラクションみたいで。,肯定会很开心的～。\n就像游乐设施一样。
0000000000000,{user},（アトラクションの悲鳴とは\n　思えなかったが……）,（虽然听起来不像\n　游乐设施的尖叫声……）
0000000000000,ことね,くふふ、手伝い要員ゲット～♪,呵呵，成功抓到帮手啦～♪
0000000000000,ことね,そりゃあ、あたしがどれだけ\n鍛えられたと思ってるんですか～。,那当然，你以为我平时\n受过多少训练啊～。
0000000000000,ことね,それにぃ、ちびどもがお腹すかせて\n待ってますからねぇ。,而且那群小家伙们\n都饿着肚子在等呢。
0000000000000,ことね,ってことで、時間ないんで！\n乗り込め～っ！,所以没时间啦！\n快上车～！
info,adv_pevent_001_fktn_activity_011.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
