id,name,text,trans
0000000000000,咲季,ん～っ。やっぱり何度見返しても\n佑芽は可愛いわね～っ♪,嗯～果然不管看多少遍\n佑芽都好可爱呀～♪
0000000000000,{user},花海さんの動画を見てるんですか？,您是在看花海的视频吗？
0000000000000,咲季,そ！　モチベを上げるなら\nこれが一番！,对！要提升干劲的话\n这个最有效！
0000000000000,咲季,ほら見て、このあいだの営業！\n衣装も可愛い～っ♪,快看，这是前几天的商演！\n服装也好可爱～♪
select,,負けて\nられませんね,看来我们\n不能输呢
select,,全部\n見てるんですか？,您把全部\n视频都看了？
select,,ファンみたい\nですね,简直像个\n粉丝呢
0000000000000,咲季,ええ、もちろん。\n簡単には追いつかれない。,当然啦\n休想轻易超越我
0000000000000,咲季,次の勝負でも思い知らせてあげるの！,下次较量也要让你们见识下我的实力！
0000000000000,咲季,お姉ちゃんとして、ね♪,毕竟我可是姐姐呀♪
0000000000000,{user},（過去のことを考えると、\n　言葉ほど楽天的じゃない）,（回想过去\n她其实没表面这么乐观）
0000000000000,{user},（しっかりサポートしなければ）,（必须好好支持她才行）
0000000000000,咲季,あったりまえじゃない！\nお姉ちゃんとして気になるでしょう？,这不是当然的嘛！\n身为姐姐当然会关心对吧？
0000000000000,咲季,それに、もしかしたら……,而且说不定……
0000000000000,{user},もしかしたら？,说不定什么？
0000000000000,咲季,ううん、なんでもない！\nあなたも佑芽の可愛さ、研究しなさい！,没什么啦！\n你也该好好研究下佑芽的可爱之处！
0000000000000,咲季,なに言ってるの。\nわたしは佑芽のファンよ。,说什么呢\n我可是佑芽的头号粉丝
0000000000000,咲季,しかも、一番最初の\nいっちばんのファン！,而且还是从最开始\n就一直支持她的头号粉丝！
0000000000000,{user},（一番恐れるライバルなのに……\n　さすがというべきか）,（明明是最该警惕的竞争对手……\n该说真不愧是她吗）
0000000000000,咲季,そこのとこ、ちゃ～～んと\n理解しときなさいっ！,这点可要给我\n好好记住哦！
info,adv_pevent_001_hski_activity_002.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
