id,name,text,trans
0000000000000,咲季,あ、勝った勝った！,啊，赢了赢了！
0000000000000,{user},運がよかったですね。,运气真不错呢。
0000000000000,咲季,トーゼン！\nわたしがついてるのよ？,那当然了！\n有我在罩着你呀？
0000000000000,咲季,もう1回やりましょうよ！\n今なら行けるわ！,再来一局吧！\n现在状态超好的！
select,,チャレンジ\nしますか,要挑战\n吗
select,,今日は\nここまでです,今天\n就到这里
0000000000000,咲季,気合い入れて選ぶわっ！,我要认真选牌啦！
0000000000000,咲季,ほぉら、勝った勝った！,看吧，又赢了又赢了！
0000000000000,{user},さすがというか……,该说不愧是你……
0000000000000,咲季,ふふーん♪\n商品ももらって満足だわ。,哼哼♪\n奖品也拿到了真满足呢。
0000000000000,咲季,今日はこのくらいに\nしといてあげる♪,今天就先\n放你一马啦♪
0000000000000,咲季,ま、負けた……,唔，输了……
0000000000000,咲季,もう1回……\n負けたままじゃ終われないっ！,再来一次……！\n不能以输局收场啊！
0000000000000,{user},いけません。それはドツボに\nはまる考え方です。,不行。这种想法\n会陷入恶性循环的。
0000000000000,咲季,悔しい～っ！,好不甘心～！
0000000000000,{user},勝った状態で気持ちよく\n帰りましょう。,带着胜利的喜悦\n回家吧。
0000000000000,咲季,もう1回勝ったっていいじゃない！,再赢一局有什么不好嘛！
0000000000000,咲季,うーっ。\n納得いかないっ！,呜～\n完全不能接受！
info,adv_pevent_001_hski_activity_018-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
