id,name,text,trans
0000000000000,担任教師,今日は定期試験が近いこともあり、\n自習時間をレッスンにあててよし。,考虑到近期有期中考试，\n今天的自习时间就改为练习课吧。
0000000000000,担任教師,プロデューサーがいるものは\n相談して決めなさい。,有制作人在场的话，\n你们可以商量决定具体内容。
0000000000000,咲季,……なるほど。だからあなたが\nここにいるわけね。,……原来如此。所以你\n才会出现在这里啊。
0000000000000,咲季,わたしはなんでもいいけど、\nなにを重点的にすればいい？,我个人是都可以啦，\n你觉得该重点训练哪方面？
0000000000000,{user},（さて、今日のレッスンは……）,（那么今天的课程内容是……）
select,,ボーカルレッスン,声乐训练
select,,ダンスレッスン,舞蹈训练
select,,ビジュアル\nレッスン,形象\n训练
0000000000000,咲季,ボーカルを鍛えるのね。\nいいじゃない。,要提升唱功呀。\n这个选择不错呢。
0000000000000,咲季,それじゃ、楽譜を用意するわ。,那我去准备乐谱啦。
0000000000000,咲季,やった！　体を動かすの、\n好きだものね！,太好了！我最喜欢\n活动身体了！
0000000000000,咲季,どんな難しいステップでもいいわよ？\nさ、始めましょ♪,再难的舞步都没问题哦？\n来，开始吧♪
0000000000000,咲季,ビジュアルかぁ。\nそうね、悪くないと思うわ。,形象训练啊。\n嗯，我觉得挺好的。
0000000000000,咲季,じゃあ移動しましょっか。\nなんでもこいだわ！,那我们就转移场地吧。\n尽管放马过来！
info,adv_pevent_001_hski_school_011.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
