id,name,text,trans
0000000000000,佑芽,プロデューサーさんと\nカラオケだ！,制作人先生\n我们去唱卡拉OK吧！
0000000000000,{user},そんなに意気込む必要は\nありませんよ。,不必这么干劲十足\n也没关系哦。
0000000000000,佑芽,だって気分はオーディションですよ！\n審査される気分です！,因为感觉就像在参加试镜啊！\n总觉得在被评委审视！
0000000000000,{user},休日の息抜きですから、\nリラックスしてください。,这是周末放松时间\n放轻松就好
0000000000000,佑芽,本当ですか？\nじゃあ……,真的吗？\n那……
0000000000000,佑芽,まずプロデューサーさんから、\n1曲お願いしますっ！,先请制作人先生\n唱第一首歌吧！
select,,わかりました,明白啦
select,,それは……,那就……
0000000000000,佑芽,なんだかプロデューサーさんの\n歌を聴くのも、緊張しますね……！,不知道为什么听制作人唱歌\n也会觉得好紧张啊……！
0000000000000,佑芽,あーっ！\nやっぱり審査だ！,啊——！\n果然还是在考核！
0000000000000,{user},そういうわけでは……,不是这个意思……
0000000000000,佑芽,じゃあどういうわけなんですかっ！,那到底是什么意思嘛！
0000000000000,佑芽,それを聞かないと、\nリラックスできませんよーっ！,不问清楚的话\n人家根本没法放松啦——！
info,adv_pevent_001_hume_activity_018-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
