id,name,text,trans
0000000000000,{user},……口癖、ですか？,……口头禅吗？
0000000000000,リーリヤ,口癖というか……,与其说是口头禅……
0000000000000,リーリヤ,……いつも無意識に、わたしなんかって\n言っちゃうんです……。,……我总是会无意识地说出\n“像我这样的人”这种话……
0000000000000,リーリヤ,やっぱり、聞いててあんまりいい気が\nしないかもって思って……。,我一直在想，听到这种话\n可能会让人不太舒服吧……
select,,気にしなくて\nいいですよ,不用在意的
select,,どっちでも\nいいですよ,怎样都行
select,,場合によりますね,要看情况呢
0000000000000,リーリヤ,えっ……。,啊……
0000000000000,{user},それもそれで、葛城さんの\nキャラクターで、個性ですから。,不过这也算是葛城同学\n的个人特色吧。
0000000000000,{user},人と話すうちに、\n自然と変わっていくでしょう。,随着和人交流增多，\n应该会自然改变的。
0000000000000,リーリヤ,……は、はいっ。,……嗯、嗯！
0000000000000,リーリヤ,……プロデューサーが\nセンパイで、本当に良かったです。,……有前辈当制作人\n真是太好了。
0000000000000,{user},葛城さんが気になるならやめればいい\nですし、そのままでもいい。,如果葛城同学介意的话可以改掉，\n保持现状也可以。
0000000000000,{user},葛城さんが自然体でいられることが、\n一番大事ですから。,最重要的是葛城同学\n能够保持自然的状态。
0000000000000,{user},アイドルの魅力は、\nそこから生まれると思いますよ。,偶像的魅力，\n正是从这种地方产生的。
0000000000000,リーリヤ,……センパイはいつも、\nわたしの欲しい言葉をくれますね……。,……前辈总是\n能说出我想听的话呢……
0000000000000,リーリヤ,……ありがとう、ございます。,……谢谢你。
0000000000000,{user},時と場所によっては、\n気を付けたほうがいいかもしれません。,有时候在某些场合，\n或许需要注意一下。
0000000000000,{user},でも、アイドルになってしまえば\nなんでも個性ですよ。,不过成为偶像后，\n任何特点都可以成为个性。
0000000000000,リーリヤ,……予想外の回答で、\n少しびっくりしちゃいました……。,……没想到会得到这样的回答，\n稍微有点吃惊……
0000000000000,リーリヤ,なんでも個性……\nそういうものなんですね……。,任何特点都能成为个性……\n原来是这样啊……
info,adv_pevent_001_kllj_activity_020.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
