id,name,text,trans
0000000000000,あさり先生,インタビューはアイドルを\n知ってもらうためのチャンスです。,采访是让更多人了解偶像的\n重要机会呢。
0000000000000,あさり先生,ただ、なんの準備もなく\n臨むのはやめたほうがいいですね。,不过毫无准备就上场\n可不太合适哦。
0000000000000,あさり先生,面接の練習があるように、\nインタビューも練習してみましょう。,就像面试需要练习一样，\n采访也需要事先排练呢。
0000000000000,あさり先生,紫雲さんは、本番だと思って\n答えてくださいね。,紫云同学，请当作正式场合\n认真回答哦。
0000000000000,清夏,Pっちがインタビュアー？\nえー、どーしよー。,制作人当采访者？\n唔～怎么办才好呢～
0000000000000,清夏,なんでも喋っちゃうかもー♪,说不定会口无遮拦全说出来哦♪
select,,尊敬する人は？,请说说你尊敬的人？
select,,最近嬉しかった\nことは？,最近最让你开心的\n事情是？
select,,理想の\nアイドル像は？,你心目中的\n理想偶像形象是？
0000000000000,清夏,んー……Pっちは知ってんじゃない？\nあ、本番か。,嗯——制作人不是早就知道了吗？\n啊，现在是正式采访啊。
0000000000000,清夏,じゃあ、えーと……\n一緒に入学した友達。,那，呃……\n和我同期入学的朋友。
0000000000000,清夏,夢に向かって\n誰よりもがんばってて。,她朝着梦想\n比任何人都要努力。
0000000000000,清夏,まさにアイドルって感じ。\nあたしが一番のファン！,完全就是理想中的偶像模样。\n我可是她的头号粉丝！
0000000000000,あさり先生,……紫雲さんには、練習なんて\nいりませんでしたか？,……看来紫云同学\n根本不需要练习呢？
0000000000000,あさり先生,すっごくよかったですよ！\n先生、思わず聞き入っちゃいました。,回答得太棒了！\n老师都听入迷了。
0000000000000,清夏,嬉しかったコトかー。\nそーだなー……,最近开心的事啊——\n让我想想——
0000000000000,清夏,あ！　このあいだ、\n新しいお店がオープンしてたの。,啊！前几天\n新开了家店。
0000000000000,清夏,そこのクレープが美味しくて、\nリーリヤと盛り上がっちゃってさ！,那家的可丽饼超好吃，\n和莉莉娅吃得超嗨的！
0000000000000,あさり先生,ファンがこぞって\n食べに行きそうですね～。,粉丝们肯定会争相\n去打卡呢～
0000000000000,あさり先生,紫雲さんの明るい話し方は、\nきっと動画映えすると思います。,紫云同学活泼的说话方式\n拍成视频一定很上镜。
0000000000000,あさり先生,戦略に組み込んでも\nいいと思いますよ～？,可以考虑作为宣传策略\n的一部分哦～
0000000000000,清夏,う～ん……\nショージキ、決まってない。,唔……\n具体的还没想好。
0000000000000,清夏,でもなんか、こんなのかなって\nボンヤリ思ってるのは……,不过隐约觉得\n大概是……
0000000000000,清夏,みんながトモダチって\n思ってくれるアイドルかなー。,希望能成为让大家觉得\n“像是朋友般”的偶像吧～
0000000000000,あさり先生,質問への答え方には\nいろんなアプローチがあります。,回答问题的方式\n有很多种思路呢。
0000000000000,あさり先生,正直に、そして真剣に考えた結果の\n今の答え……,既保持真诚又经过深思熟虑的\n现在这个回答……
0000000000000,あさり先生,紫雲さんのインタビューとして、\nハナマルです♪,作为紫云同学的采访表现\n可以打满分哦♪
info,adv_pevent_001_ssmk_school_003.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
