id,name,text,trans
0000000000000,手毬,プロデューサーって、\n何時に起きてるんですか？,制作人平时\n都是几点起床的呢？
0000000000000,手毬,いつ会っても\n鬱陶しいくらい元気ですよね。,每次见到你\n都精神得让人心烦呢。
0000000000000,{user},そ、そこまで\n鬱陶しかったですか……？,有、有这么\n让人心烦吗……？
0000000000000,手毬,……言い過ぎました。\nそれで、何時に起きてるんですか？,……我说过头了。\n所以，你几点起床？
select,,普通の時間です,正常时间
select,,家を出る直前です,临出门前
select,,寝てません,没睡
0000000000000,手毬,じゃあ、なにか特別なことを\nしてるんですか？,那你是不是在做什么\n特别的事情？
0000000000000,{user},いえ、それも特には。,不，也没什么特别的。
0000000000000,手毬,じゃあ何をしてるんですか！\n秘密にしないでください！,那到底在做什么呀！\n请不要瞒着我！
0000000000000,{user},（……なんだか理不尽だ）,（……总觉得有点不讲理）
0000000000000,手毬,……それにしてはちゃんと、\n身なりが整ってますね。,……不过话说回来\n你总是收拾得很整齐呢。
0000000000000,手毬,（どういうこと……\n　私、もしかして要領悪い……？）,（怎么回事……\n难道是我效率太低了……？）
0000000000000,{user},月村さん？,月村同学？
0000000000000,手毬,あ、べ、別になんでもありません。\nありがとうございました。,啊，没、没什么。\n谢谢你的回答。
0000000000000,手毬,えっ……いやいやっ。,诶……等等等等。
0000000000000,手毬,そんな冗談やめてください！\n嘘ですよね？,这种玩笑请不要开！\n是骗我的吧？
0000000000000,手毬,そういうところです！\n真面目に聞いてるのに……,就是这种地方！\n人家明明在认真问你的……
0000000000000,手毬,もういいっ！,不理你了！
info,adv_pevent_001_ttmr_activity_016.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
