id,name,text,trans
0000000000000,{user},お疲れ様でした。麻央さんは……,辛苦了。麻央小姐你……
0000000000000,{user},……不合格でした。,……没有通过选拔。
0000000000000,麻央,……っ、そ……,……这样、啊……
0000000000000,麻央,そう、ですか……,是……这样吗……
0000000000000,麻央,……しかたないですね。\nボクの実力不足です。,……也是没办法呢。\n都是我实力不足。
0000000000000,麻央,潔く認め――,干脆地承认——
0000000000000,麻央,……う、く……うう、う……,……呜、咕……呜、呜呜……
0000000000000,麻央,ごめんなさい、プロデューサー……,对不起，制作人……
select,,大丈夫です,没关系的
select,,謝るのは\n俺のほうです,该道歉的人\n是我才对
select,,悔しいですよね,很不甘心吧
0000000000000,麻央,……――。,……——
0000000000000,{user},麻央さんは、トップスターになる\n才能と資質を持っています。,麻央小姐，你拥有成为顶级偶像的\n才能和潜质。
0000000000000,{user},もう一度、立ち上がって、\n輝きを見せてください。,请再次站起来，\n让我看到你的光芒。
0000000000000,麻央,……プロデューサー。,……制作人。
0000000000000,麻央,ボクは、アイドルになるのを、\n諦めようと思ってました。,我本来已经打算，\n放弃成为偶像了。
0000000000000,麻央,王子様になれないのなら、\n学園も辞めてしまおうって――,既然当不成王子殿下，\n不如干脆退学算了——
0000000000000,麻央,けど、キミがボクを見つけてくれて、\n約束してくれました。,但是，你找到了我，\n和我做了约定。
0000000000000,麻央,可愛くて、カッコイイ、\n無敵のアイドルにしてくれるって。,说要让我成为既可爱又帅气，\n所向无敌的偶像。
0000000000000,麻央,だから、まだ諦めません。\nキミが手を伸ばしてくれたから。,所以，我还不会放弃。\n因为你向我伸出了手。
0000000000000,麻央,ボクは何度だって、\n立ち上がります。,无论多少次，\n我都会重新站起来的。
0000000000000,{user},あなたのポテンシャル、\n可愛さを引き出すことができなかった。,没能激发你的潜力，\n没能展现出你的可爱之处。
0000000000000,{user},……悔しい、ですね……\n本当に、すみません……,……真的很不甘心啊……\n真的……非常抱歉……
0000000000000,麻央,そんな……\nキミはボクのために、一生懸命……,别这么说……\n你已经为我这么努力了……
0000000000000,{user},麻央さん――\nもう一度チャンスをください。,麻央小姐——\n请再给我一次机会。
0000000000000,{user},今度は、絶対にあなたの魅力を\n引き出してみせます。,下次我一定会，\n让你的魅力完全绽放。
0000000000000,麻央,プロデューサー……,制作人……
0000000000000,麻央,はい、こちらこそ、\nよろしくお願いします！,好的，我才是，\n要请你多多指教！
0000000000000,麻央,キミが一緒にいてくれるなら、\nボクは何度だって立ち上がりますよ。,只要你还愿意陪在我身边，\n无论跌倒多少次我都会站起来。
0000000000000,麻央,……はい、すごく……\n悔しい……,……嗯，真的好……\n不甘心啊……
0000000000000,{user},この悔しさ、しっかり、\n胸に刻んでください。,请把这份不甘，\n深深铭记在心里。
0000000000000,麻央,……はい。,……好的。
0000000000000,{user},あなたが努力してきたことは、\n誰よりもよく知っています。,你付出的所有努力，\n我都比任何人都清楚。
0000000000000,{user},ただ、ステージの上で、\n努力の成果を出せなかった。,只是，在舞台上\n没能展现出努力的成果。
0000000000000,麻央,プロデューサー……,制作人……
0000000000000,{user},カッコイイのは、挫けない人、\n失敗しない人じゃありません。,真正的帅气，不在于永不挫败，\n不在于从不失误。
0000000000000,{user},何度でも立ち上がって、這い上がる、\nそれが、カッコイイってことです。,而是无论跌倒多少次都能重新站起，\n这才是真正的帅气。
0000000000000,麻央,……そうですね。\nそう……でした……――,……是啊。\n确实……是这样呢……——
0000000000000,麻央,ボクは完璧な王子様なんかじゃない。\nだけど、だから――,我不是什么完美的王子殿下。\n但正因如此——
0000000000000,麻央,一番カッコイイ、ボクになります。,我要成为最帅气的自己。
0000000000000,麻央,プロデューサー、\nもう一度、よろしくお願いします！,制作人，\n请再次多多指教！
info,adv_pstory_001_amao_after-audition-final-failure-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
