id,name,text,trans
0000000000000,{user},お疲れ様でした。麻央さんは……,辛苦了。麻央同学你……
0000000000000,{user},合格です。まずまずの結果でしたね。,合格了。算是中规中矩的成绩呢。
0000000000000,麻央,……そうですね。\n可も無く不可も無く、ですか――,……是啊。\n不好不坏，对吧——
select,,不満そうですね,看起来不太满意呢
select,,調子が出なかった\nようですね,好像没发挥出\n最佳状态呢
select,,一番可愛かった\nですよ,明明是最可爱的\n一个哦
0000000000000,麻央,合格はできましたけど、トップを\n目指すなら、満足はできませんよ。,虽然合格了，但要以\n第一名为目标的话，这还不够。
0000000000000,{user},悪い結果ではありません。誰しも、\n好調不調の波はありますから。,结果并不差。毕竟谁都有\n状态起伏的时候。
0000000000000,麻央,それはそう、ですけど……,话是这么说……
0000000000000,麻央,やっぱり、プロデューサーに\nいいところ、見せたかったです。,但我还是想让制作人\n看到我最好的一面啊。
0000000000000,麻央,次は絶対、トップ合格してみせます。,下次绝对要拿下第一名给你看。
0000000000000,麻央,調子は、よくなかったです……\nでも、言い訳はしたくありません。,状态确实不太好……\n但我不想找借口。
0000000000000,麻央,アイドルのコンディションは、\nお客さんには関係ないですから。,偶像的状态如何，\n观众根本不会在意。
0000000000000,{user},プロフェッショナルですね。,很专业呢。
0000000000000,麻央,どんなときも、\n強く、凜々しく、したたかに――,无论何时都要\n坚强、凛然、坚韧——
0000000000000,麻央,砂漠に咲く、\n一輪の薔薇のようであれ。,就像沙漠中绽放的\n一朵玫瑰那样。
0000000000000,麻央,ボクの憧れた、\n歌劇団のモットーなんです。,这是我向往的\n歌剧团的座右铭。
0000000000000,麻央,こんどこそ、花開いてみせます。\n見ていてくださいね、プロデューサー。,这次一定要让你看到我绽放的样子。\n请好好期待着吧，制作人。
0000000000000,麻央,やめてください、\nそんな慰めはいりませんから。,请不要这样，\n我不需要这种安慰。
0000000000000,麻央,ボクの前に歌った娘のほうが、\nずっと可愛くて、キラキラしてました。,在我前面表演的女孩\n明明比我可爱耀眼得多。
0000000000000,{user},いえ、断言しますが、\n麻央さんが一番可愛かったです。,不，我敢肯定\n麻央同学才是最可爱的。
0000000000000,麻央,……～っ！,……～！
0000000000000,{user},ただ、試験の短い時間内で、\n麻央さんの可愛さを表現するのは、,不过要在考试的短时间内\n充分展现麻央同学的可爱，
0000000000000,{user},なにかパフォーマンスに工夫を\nしたほうがいいでしょうね。,或许该在表演形式上\n多下点功夫呢。
0000000000000,麻央,さっきから、可愛い可愛いって、\n恥ずかしいよ、もう……,一直说可爱可爱的……\n太让人害羞了……
0000000000000,麻央,でも、キミがそう言ってくれるなら、,不过既然你都这么说了，
0000000000000,麻央,ステップとか、衣装とか、\nもっと可愛い感じにしてみます。,我会在舞步和服装上\n加入更多可爱元素的。
info,adv_pstory_001_amao_after-audition-mid-normal-03.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
