id,name,text,trans
0000000000000,麻央,プロデューサー、\nレッスンを始めましょう！,制作人，\n我们开始训练吧！
0000000000000,{user},麻央さん──,麻央同学──
select,,水分補給も\nお忘れなく,别忘了\n补充水分哦
select,,今日も\nかわいいですね,今天也\n很可爱呢
0000000000000,麻央,あ、ありがとうございます。,啊，谢谢。
0000000000000,麻央,レッスンに集中しすぎて、\nつい水分補給を忘れちゃうんですよね。,训练太专注了，\n总是会忘记喝水呢。
0000000000000,麻央,さあ、午後のレッスンも、\nがんばりますよ！,来，下午的训练\n我也会加油的！
0000000000000,麻央,かっ……！？,帅……！？
0000000000000,{user},もちろん、かっこよくもあります。,当然，也很帅气。
0000000000000,麻央,か、からかわないでください。,请、请不要捉弄我。
0000000000000,麻央,今日はレベルアップしたボクの実力、\n見せてあげますよ。,今天就让你看看\n升级后的我的实力。
info,adv_pstory_001_amao_opening-true-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
