id,name,text,trans
0000000000000,あさり先生,いよいよ、最終試験も間近に\n迫ってきましたね。,终于，最终考核也\n近在眼前了呢。
0000000000000,あさり先生,悔いの残らないよう、\n気合を入れて頑張りましょう！,为了不留遗憾\n让我们打起精神加油吧！
0000000000000,あさり先生,最後の追い込み、何を重点的に\nレッスンしますか？\n,最后的冲刺阶段\n要重点训练哪个部分？
select,,ボーカルを\n重点的に,重点训练\n声乐
select,,ダンスを重点的に,重点训练舞蹈
select,,ビジュアルを\n重点的に,重点训练\n视觉效果
0000000000000,あさり先生,自信を持って歌えるよう、\n調子を整えましょう！,为了能自信地演唱\n让我们调整好状态吧！
0000000000000,あさり先生,審査員がくぎ付けになるような\nダンスに仕上げましょう！,让我们打造出让评委目不转睛的\n完美舞蹈吧！
0000000000000,あさり先生,最高のパフォーマンスをするために、\n魅せ方の最終調整をしていきましょう！\n,为了呈现最棒的演出\n让我们最后调整舞台表现力吧！
0000000000000,あさり先生,最終試験で悔いが残らないように、\nしっかりと仕上げましょうね！\n,为了在最终考核中不留遗憾\n一定要完美收尾哦！
0000000000000,あさり先生,ファイトー、オー！,加油——噢！
info,adv_pstory_001_cmmn_before-hard-final-normal-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
