id,name,text,trans
message,{user},お疲れ様でした。秦谷さんは……,辛苦了。秦谷小姐你……
message,{user},合格です。\nギリギリの結果でしたね。,合格了。\n真是勉强及格的结果呢。
message,美鈴,……ギリギリですか。,……勉强及格吗？
message,美鈴,不思議な気持ちです。\n悔しいような、嬉しいような。,心情有点复杂呢。\n既不甘心又有些开心。
choice,,悔しい？,不甘心？
choice,,嬉しいとは？,开心是指？
choice,,どういうこと\nですか？,这是什么\n意思呢？
message,美鈴,意外ですか？,很意外吗？
message,{user},秦谷さんは、あまり結果に\nこだわらないのでは……と。,我以为秦谷小姐\n不太在意结果……
message,{user},違ったようですね。,看来我想错了。
message,美鈴,悔しいですよ、ちゃんと。,当然会不甘心啊。
message,美鈴,実はわたし、根に持つタイプなんです。,其实我是很记仇的类型哦。
message,{user},それは知っています。,这点我很清楚。
message,美鈴,まあっ……どういう意味ですか、\nプロデューサー？,哎呀……制作人，\n你这话是什么意思？
message,美鈴,ユニットを組んでいたときは、\nずっと良い結果ばかりだったので。,以前组队活动时，\n总是能取得好成绩。
message,美鈴,新鮮です。,现在感觉很新鲜。
message,美鈴,胸に、ちくりと棘が刺さるような。,就像是心里扎了根刺一样。
message,美鈴,とても、新鮮な……不快感。,这种……新鲜的挫败感。
message,美鈴,プロデューサー。,制作人。
message,美鈴,わたし、次は1位を取りますね。,下次我一定要拿到第一名。
message,美鈴,ふふ……自分でも\nよくわからないんです。,呵呵……连我自己\n也不太明白呢。
message,美鈴,こういう結果だったとき、あの子たち\nならなんていうかなって……,我在想如果她们遇到这种情况，\n会说什么……
message,美鈴,想像してしまって。,忍不住想象起来。
message,美鈴,いつもわたしは、\nふたりの仲裁をするばかりで……,以前我总是\n在她们之间调解……
message,美鈴,自分の感想なんて、\n考えることはなくて。,从来没想过\n自己的感受。
message,美鈴,これが……ソロアイドルなんですね。,这就是……单人偶像的滋味啊。
message,美鈴,すこし、さみしい気分なので……\nそばにいてくださいますか？,现在有点寂寞……\n能陪在我身边吗？
info,adv_pstory_001_hmsz_after-audition-mid-normal-04.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
