id,name,text,trans
0000000000000,{user},お疲れ様でした。姫崎さんは……,辛苦了。关于姬崎同学……
0000000000000,{user},……不合格でした。,……没能合格。
0000000000000,莉波,……っ！？,……！？
0000000000000,莉波,そっ……か、ぁ……\nやっぱり、だめだったかぁ……,这……样啊……\n果然还是不行吗……
0000000000000,莉波,……ごめん、ね、{user}くん……\n私、がんば……った、んだけ、ど……,……对不起啊，{user}君……\n明明我已经很努力了……
0000000000000,莉波,ごめん……ごめん、ね……\nせっかく、チャンスをくれたのに……,对不起……真的对不起……\n难得你给我这次机会……
select,,チャンスは\nまだあります,机会\n还存在着
select,,ここで\n諦めるんですか,要在这里\n放弃吗
select,,さあ、レッスンを\n始めましょう,来吧\n开始训练吧
0000000000000,莉波,……う……ん……\nでも私、もう3年生だし……,……呜……嗯……\n可我已经三年级了……
0000000000000,莉波,きみに迷惑をかけちゃうよ。\nほかの子をプロデュースしたほうが――,会给你添麻烦的。\n去培育其他孩子比较——
0000000000000,{user},俺が選んだのはあなたです。,我选择的人是你。
0000000000000,莉波,……！？,……！？
0000000000000,{user},アイドルになれば、\nこんな挫折は何度だってあります。,想成为偶像的话，\n这种挫折要经历无数次。
0000000000000,{user},たとえつまずいても、\n何度だって立ち上がればいい。,就算跌倒，\n只要不断站起来就好。
0000000000000,莉波,……そうだね。ごめん。\nお姉さんなのに、弱音吐いたりして。,……说得对。抱歉。\n明明我是姐姐，却说丧气话。
0000000000000,莉波,もう、かなわないなぁ。\n立派になっちゃって。,真拿你没办法啊。\n变得这么可靠了。
0000000000000,莉波,もう大丈夫。\nありがとう、{user}くん。,已经没事了。\n谢谢你，{user}君。
0000000000000,莉波,それは……,那个……
0000000000000,莉波,私なんかが、本当にアイドルに\nなれるのかなぁ……,像我这样的人，真的能成为\n偶像吗……
0000000000000,{user},信じてください。\nあなたを選んだ俺と、あなた自身を。,请相信。\n选择你的我，还有你自己。
0000000000000,{user},あなたが諦めない限り、\n何度だって付き合います。,只要你不放弃，\n我会陪你无数次重来。
0000000000000,莉波,……{user}くん。,……{user}君。
0000000000000,莉波,うん、きみがそう言ってくれるなら、\n信じてみるよ。,嗯，既然你都这么说了，\n我愿意试试看。
0000000000000,莉波,もう一度、お願いします。\nプロデューサー！,请再给我一次机会。\n制作人！
0000000000000,莉波,レ、レッスン？\n不合格、だけど……,训、训练？\n明明不合格了……
0000000000000,{user},次の試験のレッスンです。今度は\nしっかり仕上げてのぞみましょう。,是为了下次考试的训练。这次\n我们要好好准备。
0000000000000,{user},もちろん、レッスンのメニューは\nこちらで調整しなおします。,当然，训练内容\n我会重新调整。
0000000000000,莉波,……次も、うまくいかなかったら？,……如果下次也失败了呢？
0000000000000,{user},次の次で上手くいくように、\nいろいろ試せばいい。,那就为下下次成功\n多尝试不同方法。
0000000000000,{user},この学園は、諦めない人には\n挑戦の機会を与えてくれる場所です。,这所学园，绝不会对不放弃的人\n关上挑战的大门。
0000000000000,莉波,……{user}くん。,……{user}君。
0000000000000,莉波,……わかった。\nまだ、諦めたくないから――,……明白了。\n我还不想放弃——
0000000000000,莉波,レッスン、よろしくお願いします！,训练就拜托你了！
info,adv_pstory_001_hrnm_after-audition-final-failure-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
