id,name,text,trans
0000000000000,{user},お疲れ様でした。姫崎さんは……,辛苦了。姬崎小姐她……
0000000000000,{user},合格です。最高の結果でしたね。,合格了。真是最棒的结果呢。
0000000000000,莉波,ほ、本当に……！？,真、真的吗……！？
0000000000000,莉波,はあああ……\nよかったあああ……,哈啊——……\n太好了……
0000000000000,莉波,きみが見ててくれたから、\n普段通りにできたんだ。,因为有你看着，\n我才能发挥出平时的水平。
0000000000000,莉波,{user}くんのおかげだね。,都是多亏了你呢，{user}君。
select,,よく頑張りました,你真的很努力
select,,まだ\n気は抜けません,还不能\n掉以轻心
select,,当然の結果です,这是理所当然的结果
0000000000000,莉波,……うん、頑張ったよ。,……嗯，我确实努力了。
0000000000000,莉波,本当に全力を出せたから……\n胸を張ってそう言えるんだ。,因为真的拼尽了全力……\n才能挺起胸膛这么说。
0000000000000,莉波,だから、えっと、その……\nもっと褒めてもいいんだよ？,所以，那个……\n可以多夸夸我哦？
0000000000000,{user},ステージで踊るあなたは……\n最高に魅力的でした。,在舞台上跳舞的你……\n简直魅力四射。
0000000000000,莉波,えへへ……\nありがとう、{user}くん♪,嘿嘿……\n谢谢你，{user}君♪
0000000000000,{user},合格は喜ばしいですが、\nこれはまだ中間試験です。,虽然合格值得高兴，\n但这只是期中考试而已。
0000000000000,莉波,……う、うん、そうだね。\nちょっと、浮かれてたかも。,……嗯，你说得对。\n我可能有点得意忘形了。
0000000000000,莉波,ありがとう、{user}くん。,谢谢你提醒我，{user}君。
0000000000000,莉波,きみがプロデューサーになってくれて、\n本当によかった。,能让你当我的制作人，\n真是太好了。
0000000000000,{user},しっかり兜の緒を締めて、\n次の戦いにのぞみましょう。,让我们重整旗鼓，\n迎接下一场挑战吧。
0000000000000,莉波,うん、そうだね！,嗯，说得对！
0000000000000,莉波,そ、そんなことないよ……,才、才没有这回事……
0000000000000,莉波,調子はよかったけど、\nずっと不安だったし……,虽然状态不错，\n但一直很不安……
0000000000000,{user},あなたが練習に励む姿を、\n毎日見ていたので――,因为我每天都看着你\n努力练习的样子——
0000000000000,{user},合格することはわかっていました。,早就知道你会合格。
0000000000000,莉波,その割に、試験の前日は\nすっごくそわそわしてたけど？,那考试前一天\n你还坐立不安呢？
0000000000000,{user},そ、それは、ですね……,这、这个嘛……
0000000000000,莉波,本当は、失敗しないか、\n心配だったでしょ？,其实你也很担心\n我会失败对吧？
0000000000000,{user},……はい。\n試験前日は心配で眠れませんでした。,……是的。\n考试前一晚担心得睡不着。
0000000000000,莉波,ふふっ、素直でよろしい。,呵呵，诚实是好事哦。
0000000000000,莉波,次はきみに心配を\nかけないようにしたいなぁ。,下次我会努力\n不让你担心的。
info,adv_pstory_001_hrnm_after-audition-mid-normal-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
