id,name,text,trans
0000000000000,咲季,プロデューサー、\n最近のわたしってどう思う？,制作人，\n你觉得最近的我怎么样？
select,,さらに美しく\nなりましたね,变得更加\n美丽了呢
select,,さらに健やかに\nなりましたね,变得更加\n健康了呢
0000000000000,咲季,ふへへ、わかっちゃう～～～？\nそうなのっ！,嘿嘿，被你看出来啦～～～？\n没错哦！
0000000000000,咲季,でもね、あなたが用意してくれる\nアイテムのおかげでもあるわ。,不过啊，这也多亏了你\n为我准备的各种道具呢。
0000000000000,咲季,えっ、今日もなにかくれるの？\nまったくもぉ……,诶？今天也要送我东西吗？\n真是的……
0000000000000,咲季,プロデューサーって、わたしのことが\nよっぽど好きなのね。,制作人你啊，\n果然超级喜欢我对吧？
0000000000000,咲季,まぁね～～～～～～～！！,哎呀～～～～～～～！！
0000000000000,咲季,日々鍛練を欠かしていないものっ！\n当り前よね～！,每天的锻炼我可都没落下哦！\n这不是理所当然的嘛～！
0000000000000,咲季,もっともっとスキルアップして、\nトップアイドルまで一直線よ！,我要继续提升实力\n朝着顶级偶像直线前进！
info,adv_pstory_001_hski_opening-true-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
