id,name,text,trans
0000000000000,佑芽,おはようございます、\nプロデューサーさんっ！,早上好，\n制作人先生！
0000000000000,佑芽,花海佑芽！　本日！　\n絶好調！！　です！！！,花海佑芽！今天！\n状态绝佳！！超级好！！！
select,,そんな佑芽さんに\nプレゼントです,给这样的佑芽小姐\n送上礼物
select,,今回のプロデュース\n計画は……,这次的偶像培育\n计划是……
0000000000000,佑芽,わ～っ、ありがとうございます！,哇～谢谢您！
0000000000000,佑芽,大切に使いますねっ！,我会好好珍惜使用的！
0000000000000,{user},元気すぎて、ケガなどしないように。,别太兴奋了，小心别受伤。
0000000000000,佑芽,もちろんですよ！　しっかりストレッチ\nと水分補給をして……,当然啦！我会认真做拉伸\n和补充水分的……
0000000000000,佑芽,さあ、アイドル活動を始めましょう！,来吧，开始偶像活动吧！
0000000000000,佑芽,アイドルとして、\n新しいスキルを覚えるんですね！,作为偶像，\n要学习新技能对吧！
0000000000000,佑芽,よぉ～～っし、成長するぞぉ～～♪,好嘞～～我要加油成长啦～～♪
info,adv_pstory_001_hume_opening-true-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
