id,name,text,trans
0000000000000,{user},お疲れ様でした。葛城さんは……,辛苦你了。葛城小姐真是……
0000000000000,{user},合格です。最高の結果でしたね。,合格了。真是最棒的结果呢。
0000000000000,リーリヤ,さ、最高の結果ですか……！？,最、最棒的结果吗……！？
0000000000000,{user},とてもすごいことですよ。\nおめでとうございます。,这是非常了不起的事情哦。\n恭喜你。
0000000000000,リーリヤ,ありがとうございます、センパイ。,谢谢你，前辈。
select,,葛城さんの\n実力です,这都是\n葛城小姐的实力
select,,だいぶ飛ばして\nいましたね,刚才的表现\n相当出色呢
select,,今の気持ちは？,现在心情如何？
0000000000000,リーリヤ,……実力って言われると、\n不思議な気持ちになります……。,……被说是实力的话，\n有种不可思议的感觉……。
0000000000000,リーリヤ,でも、わたし……,但是，我……
0000000000000,リーリヤ,試験中でも、ちゃんと、\n楽しめていたんです……。,即使在考试中，也依然能\n真切地感受到快乐……
0000000000000,リーリヤ,……もちろん緊張して、\n失敗したところもあるんですけど……。,……虽然当然会紧张，\n也有失误的地方……
0000000000000,リーリヤ,少し前のわたしだったら、\n考えられない……ですよね。ふふ。,如果是之前的我，\n根本不敢想象吧。呵呵。
0000000000000,リーリヤ,あの頃からずっと、センパイと\n二人三脚で頑張ってきたから――,因为从那时起，就一直和前辈\n携手努力到现在——
0000000000000,リーリヤ,最高の結果は、\nわたしたち、ふたりのものなんです。,这份最棒的结果，\n是属于我们两个人的。
0000000000000,リーリヤ,だから……\nセンパイも、おめでとうございます。,所以……\n前辈也恭喜你。
0000000000000,{user},確かに、アイドルと\nプロデューサーは一蓮托生ですからね。,确实，偶像和制作人\n本就是命运共同体呢。
0000000000000,リーリヤ,……はい。これからも、\nよろしくお願いします……！,……嗯。今后也请\n多多关照……！
0000000000000,リーリヤ,……や、やっぱりそう見えましたか？,……真、真的看起来是这样吗？
0000000000000,リーリヤ,すごくドキドキして、でも楽しくて……,心跳得好快，但又很开心……
0000000000000,リーリヤ,気づいたら……あっという間に、\nステージが終わってたんです。,回过神来……舞台表演\n转眼间就结束了。
0000000000000,{user},ステージを楽しめたのであれば、\n何よりです。,能享受舞台表演\n比什么都重要。
0000000000000,{user},今回の勝因は、葛城さんの一生懸命さが\n伝わったからかもしれませんね。,这次的成功秘诀，或许正是因为\n葛城小姐的全力以赴打动了大家。
0000000000000,リーリヤ,えへへ……そう、でしょうか。,嘿嘿……是这样吗。
0000000000000,リーリヤ,そうだったら、嬉しいです……！,如果是这样的话，我会很开心……！
0000000000000,リーリヤ,……びっくり、してます。\nでも、それ以上にすごく――,……说实话很震惊。\n但比起震惊，更多的是——
0000000000000,リーリヤ,すごく、嬉しいです！,超级、超级开心！
0000000000000,{user},それは良かった。\n試験前は不安そうでしたが……,那就好。\n虽然考试前看起来有些不安……
0000000000000,{user},ステージに立った葛城さんは\nとても立派でしたよ。,但站在舞台上的葛城小姐\n非常出色哦。
0000000000000,リーリヤ,うぅ……こんなにいい結果で、\nセンパイにも褒められて……,唔……能取得这么好的结果，\n还被前辈表扬……
0000000000000,リーリヤ,わたし……頑張って来て\n本当に、良かったです。,我……一直以来的努力\n真的、太值得了。
info,adv_pstory_001_kllj_after-audition-mid-normal-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
