id,name,text,trans
0000000000000,リーリヤ,今日もよろしくお願いします、\nセンパイ。,今天也请多多指教，\n前辈。
select,,飲み物\n買っておきました\n,饮料\n我买好了\n
select,,今日のレッスン\nメニューです,今天的训练\n安排表
0000000000000,リーリヤ,いつもありがとうございます……！\n,一直都太感谢您了……！
0000000000000,リーリヤ,最近、毎日のレッスンが楽しくて……\n,最近每天的练习都很快乐呢……
0000000000000,リーリヤ,あっ……もちろん、ちゃんと\n水分補給もしてます……！\n,啊……当然，我有好好\n补充水分的……！
0000000000000,リーリヤ,だから……これからも\nご指導のほどよろしくお願いします。,所以……今后也\n请继续指导我。
0000000000000,リーリヤ,……ふふ。,……呵呵。
0000000000000,リーリヤ,あっ……す、すみません……。,啊……对、对不起……。
0000000000000,リーリヤ,このやり取りも、たくさんやったなぁ\n……って思ったんです……。,这样的对话，我们重复过好多遍呢\n……突然这么觉得……。
0000000000000,リーリヤ,少しずつでも成長できてる……。\nそう、ですよね？　センパイ。,虽然只有一点点但确实在成长……\n对吧？前辈。
info,adv_pstory_001_kllj_opening-true-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
