id,name,text,trans
0000000000000,清夏,Pっち、いるー？,P酱，在吗～？
0000000000000,{user},はい、どうかしましたか？,在的，有什么事吗？
0000000000000,清夏,んーとねー。\nその～、えっと～……,嗯——那个啊～\n就是～呃～……
0000000000000,{user},珍しいですね、清夏さんが\n言いよどむなんて。,真少见呢，清夏小姐\n居然会吞吞吐吐的。
0000000000000,清夏,あ、あたしだって\nこーゆー時くらいあんの！,呜、我也是会有\n这种时候的好吗！
0000000000000,清夏,あーもー！　なんか\nもっと言いづらくなったじゃん……,啊——真是的！被你一说\n反而更不知道怎么开口了啦……
0000000000000,{user},……そういえば、\nレッスン着を着ていますね。,……说起来，\n你穿着练习服呢。
0000000000000,清夏,…………っ！,…………！
0000000000000,清夏,そ、そーなんだよね～。\nちょっと頑張ってみよーかなって……,是、是啊～\n想着要不要稍微努力一下……
0000000000000,{user},もう一度、レッスンを\n受ける……ということですか？,意思是……要重新开始\n接受训练吗？
0000000000000,清夏,ん、まーそーゆーこと、かな。,嗯，差不多就是这个意思吧。
select,,何か変なものでも\n食べましたか？,你是吃了什么\n奇怪的东西吗？
select,,前向きで\nいいですね,能积极面对\n很棒呢
0000000000000,清夏,Pっち、ひどーいっ！,P酱好过分！
0000000000000,清夏,もういーや。やろーと思ったけど、\nそんなこと言われちゃったし～？,算啦不干了。本来还想试试的，\n被你这么一说——
0000000000000,清夏,やる気なくなっちゃったナ～。,现在完全没干劲啦～。
0000000000000,{user},まだやる気はあるようなので、\nさっそくレッスンをしましょうか。,看你好像还有干劲的样子，\n我们马上开始训练吧。
0000000000000,清夏,ええ～！？　今ので、なーんで\nレッスンしようって話になるわけ？,诶～！？刚才那段对话\n到底哪里得出要训练的结论啊？
0000000000000,清夏,でしょ～？,对吧～？
0000000000000,清夏,もう、うじうじしてるのも\n飽きたな～って思ってさ。,其实啊，我自己也\n觉得老是消极逃避很没意思～
0000000000000,清夏,ちょっと、一歩踏み出してみる\nことにしたんだよね～。,所以决定试着\n往前迈一步～。
0000000000000,{user},とてもいいことだと思います。,我认为这是非常好的决定。
0000000000000,清夏,へへっ♪,嘿嘿♪
0000000000000,清夏,……なんか、色々言ったけどさ。\nPっちには感謝してるんだ。,……虽然说了很多有的没的，\n但我真的很感谢P酱哦。
0000000000000,清夏,ずーっとレッスンサボってた\nあたしでも、,就连一直逃避训练的\n这样的我，
0000000000000,清夏,この間のライブみたいな、誰かに\n見てもらえる機会をもらえたじゃん？,也能获得像之前演唱会那样\n被人瞩目的机会，
0000000000000,清夏,それは、Pっちがあたしのこと\nプロデュースしてくれたからだし。,这都是因为P酱来担任我的\n制作人啊。
0000000000000,清夏,だから、ありがとね。,所以，谢谢你啦。
0000000000000,{user},お礼は、トップになってからで\n大丈夫です。,道谢的话，等你登上巅峰后\n再说也不迟。
0000000000000,清夏,あ、受け取ってくれないんだ～？,啊～现在不肯接受吗？
0000000000000,清夏,じゃ、ホントにトップになるまで\nPっちにお礼は言わないから。,那在你把我带到巅峰之前，\n我绝对不会再说谢谢了哦。
0000000000000,清夏,そのつもりで、よろしく～♪,就这么说定啦，请多指教～♪
info,adv_pstory_001_ssmk_ending-normal-03.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
