id,name,text,trans
0000000000000,{user},お疲れ様でした。月村さんは……,辛苦了。月村小姐你……
0000000000000,{user},合格です。ギリギリの結果でしたね。,合格了。不过真是险胜呢。
0000000000000,手毬,……これが……,……这就是……
0000000000000,手毬,今の私の、実力なんですね。,我现在的真实实力啊。
select,,落ち込んでは\nいないようですね,看起来\n并没有消沉呢
select,,納得\nできませんか？,还无法\n接受结果吗？
select,,初星学園の\nレベルは高い,初星学园的\n水平确实很高
0000000000000,手毬,ずっとアイドルとして生きてきて……,作为偶像一路走来……
0000000000000,手毬,成功も、失敗も、\n経験してきていますから。,无论是成功还是失败，\n我都经历过了。
0000000000000,手毬,それに、まだ終わってません。,而且，现在还没结束。
0000000000000,手毬,いまは目の前のライブに集中します。,当前要专注眼前的演唱会。
0000000000000,手毬,すべてはそれからです。,其他事之后再说。
0000000000000,手毬,いいえ。,不。
0000000000000,手毬,いまの私にあるのは、\n自分への怒りと……焦りだけです。,现在的我心中只有\n对自己的愤怒……和焦躁。
0000000000000,手毬,もっと、もっと頑張らなくちゃ……,必须更加、更加努力才行……
0000000000000,{user},協力しますよ。\nですが、いま頑張るべきなのは――,我会协助你的。\n不过现在最该专注的是——
0000000000000,手毬,目前のライブ。……わかってます。\nたとえ大舞台じゃなくたって……,眼前的演唱会。……我明白。\n就算不是大型舞台……
0000000000000,手毬,全力を尽くします。,我也会全力以赴。
0000000000000,手毬,これ以上、\n自分を嫌いになりたくないから。,因为不想\n再更讨厌自己了。
0000000000000,{user},月村さんは十分に\n健闘していると思いますよ。,我觉得月村小姐\n已经表现得很出色了。
0000000000000,手毬,健闘じゃダメなんです。,只是出色还不够。
0000000000000,手毬,私は、トップアイドルを\n目指しているんですから。,我可是以顶尖偶像\n为目标的人啊。
0000000000000,{user},なら、次は高順位を狙いましょう。,那就下次争取更高名次吧。
0000000000000,手毬,当然です。――だけど。,那是当然。——不过。
0000000000000,手毬,その台詞はまだ早いよ、\nプロデューサー。,说这话还太早哦，\n制作人。
0000000000000,手毬,ライブはまだ、\n始まってもいないんだから。,演唱会都还没\n开始呢。
0000000000000,手毬,先のことは、\n全部終わってから考えよう。,以后的事，\n等全部结束后再考虑吧。
info,adv_pstory_001_ttmr_after-audition-final-normal-04.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
