id,name,text,trans
0000000000000,{user},お疲れ様でした。月村さんは……,辛苦了。关于月村同学的情况……
0000000000000,{user},合格です。ギリギリの結果でしたね。,合格了。不过结果很勉强呢。
0000000000000,手毬,……素直に喜べない結果です。,……这种结果实在高兴不起来。
0000000000000,手毬,早く……早くなんとかしないと……！,必须快点……必须赶快想办法才行……！
select,,焦っては\nいけません,不要
select,,もっと\n焦りましょう,再着急
select,,同感です,一点
0000000000000,手毬,そんなこと言われても！　無理です！,就算你这么说！我做不到啊！
0000000000000,手毬,こんなんじゃダメだ……！\nもっと、もっと頑張らなくちゃ……！,这样下去不行……！\n必须更加、更加努力才行……！
0000000000000,{user},頑張るなとは言っていません。\n焦るなと言っています。,我并不是说不让你努力。\n而是让你不要着急。
0000000000000,手毬,……え、えっ？,……诶，诶？
0000000000000,{user},焦らず適切に頑張りましょう。\nそれが最善です。,不急躁地适当努力吧。\n这才是最好的选择。
0000000000000,手毬,そう……ですね。\nおっしゃる通りです。,确实……是这样呢。\n您说得对。
0000000000000,手毬,ここから私がどう頑張ればいいのか、\n相談させてください。,请让我请教一下，\n接下来我该怎么努力才好。
0000000000000,手毬,……わかってます。,……我明白了。
0000000000000,{user},こんな有様では、\nトップアイドルなど到底無理ですよ。,照这样下去的话，\n根本不可能成为顶级偶像哦。
0000000000000,手毬,くっ……ぐぬぬ……っ……,唔……呜唔唔……
0000000000000,{user},というわけで明日からは、\nさらなるハードレッスンを提案します。,所以从明天开始，\n我建议进行更高强度的训练。
0000000000000,手毬,ぷ、プロデューサーって、\n本当に嫌な人ですね！,制、制作人你这个人，\n真是讨厌啊！
0000000000000,手毬,どんなに厳しいレッスンだろうと\n望むところです！,不管训练多严格\n我都求之不得！
0000000000000,手毬,必ずやり遂げて成長してみせます！,我一定会完成训练并成长给你看！
0000000000000,手毬,私は、トップアイドルになるんだから！,因为我可是要成为顶级偶像的人！
0000000000000,{user},というわけで、さっそく\nミーティングを。,那就事不宜迟，\n现在开始开会吧。
0000000000000,手毬,議題は？,议题是什么？
0000000000000,{user},もちろん『早くなんとかする』ための\n具体的なプランについて。,当然是关于“赶快想办法”的\n具体计划。
0000000000000,手毬,……ふふ。プロデューサーの\nそういうところ、嫌いじゃないよ。,……呵呵。制作人\n这种干脆的作风，我倒不讨厌哦。
0000000000000,手毬,余分なあれこれがなくていい。,没有多余的废话挺好的。
0000000000000,手毬,じゃ、やろうか。,那就开始吧。
0000000000000,手毬,私がトップアイドルになるための、\n話し合いを。,关于我成为顶级偶像的\n讨论会。
info,adv_pstory_001_ttmr_after-audition-mid-normal-04.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
