id,name,text,trans
0000000000000,{user},（レッスンの様子を見ておきたいな）,（想看看训练的情况呢）
0000000000000,手毬,ふぅっ……！,哈啊……！
0000000000000,{user},お疲れ様です、月村さん。,辛苦了，月村同学。
0000000000000,{user},素晴らしい歌唱レッスンでした。,刚才的歌唱训练非常出色。
0000000000000,手毬,ふふ……レッスンの出来を\n褒められてもね。,呵呵……就算你夸我训练表现好\n也没什么意义啦。
select,,大事なことです,这是很重要的事
select,,最高の武器を\n手に入れましたね,你已经获得了\n最强的武器呢
select,,それもそうですね,说的也是呢
0000000000000,手毬,そうかな？,是吗？
0000000000000,{user},はい。本番の出来と\n同じくらいに。,是的。和正式演出时的表现\n不相上下。
0000000000000,{user},レッスンでできないことは、\n本番でもできませんからね。,因为训练时做不到的事情，\n正式演出时也不可能做到。
0000000000000,手毬,フッ……私、本番の方が\n調子いいときもありますけど？,哼……我有时候\n正式演出状态反而更好哦？
0000000000000,{user},……そういえば、月村さんは\nそういうアイドルでしたね。,……说起来，月村同学\n确实是这种类型的偶像呢。
0000000000000,手毬,ええ、私、\n本番に強いアイドルなんです。,没错，我就是\n临场发挥型的偶像。
0000000000000,{user},……うーん。,……嗯——
0000000000000,手毬,な、なんですかその反応！？　もうっ！,你、你那是什么反应啦！真是的！
0000000000000,手毬,うん。,嗯。
0000000000000,手毬,ねぇ、プロデューサー？,呐，制作人？
0000000000000,手毬,私の歌は、トップアイドルの\nレベルで……通用しますか？,我的歌声……达到顶级偶像的\n水准了吗？
0000000000000,{user},するでしょう。,应该达到了吧。
0000000000000,手毬,そ、そうっ！,真、真的吗！
0000000000000,{user},ナンバーワンではありませんが……\nいまは、まだ。,虽然还不是第一名……\n但只是暂时而已。
0000000000000,手毬,むっ……私のやる気を出す方法、\nよくわかってるよね……！,呜……你真的很懂\n怎么激发我的斗志呢……！
0000000000000,手毬,プロデューサーのそういうところ、\nキライです。,制作人这种地方，\n最讨厌了。
0000000000000,手毬,は？,哈？
0000000000000,{user},感想は改めて、本番のライブの後に。,感想就留到正式演出后再说吧。
0000000000000,手毬,む……,呜……
0000000000000,手毬,べ、別に少しくらいなら……\nいま褒めてもいいよ。,其、其实稍微夸一下……\n现在也不是不行啦。
0000000000000,{user},本当にお上手な歌でした。\n聞き惚れましたよ。,刚才的歌声真的很棒，\n我都听入迷了。
0000000000000,手毬,……なんだか\nありきたりな褒め方ですね。,……总觉得\n这个夸奖方式好老套。
0000000000000,{user},……どうしろと。,……那要怎么说。
0000000000000,手毬,もっと良い褒め言葉を考えて\nおいてください。,请想些更好的赞美词\n准备好哦。
0000000000000,手毬,本番のライブまでに、ね。,在正式演出之前，记住了。
info,adv_pstory_001_ttmr_after-step-2-normal-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
