id,name,text,trans
0000000000000,手毬,ごちそうさまでした、プロデューサー！,我吃饱了，制作人！
0000000000000,手毬,この店のパフェ、\nずっと食べたいと思っていたんです。,这家店的芭菲\n我一直都很想尝尝呢。
0000000000000,{user},気に入ってくれたようで、\n安心しました。,看来你喜欢，\n我就放心了。
0000000000000,手毬,けど……いいんでしょうか。,但是……这样真的可以吗？
0000000000000,手毬,私……アイドルなのに……\nこんなにカロリーが高そうなものを……,我明明是个偶像…………\n居然吃这么高热量的东西……
select,,食べる前に\n言う台詞では？,这种台词\n不是该在吃之前说吗？
select,,少し太るかも\nしれませんが,虽然可能会\n稍微长点肉
0000000000000,手毬,食べてから後悔するタイプなんですっ！,我是那种吃完才会后悔的类型啦！
0000000000000,{user},大丈夫ですよ。,没关系的。
0000000000000,{user},レッスンの運動量を考えると、\n体重は減っていくはずです。,考虑到训练的运动量\n体重应该会下降的。
0000000000000,手毬,ひいっ！？,呜诶！？
0000000000000,{user},たまにはこうして\n英気を養うのも良いでしょう。,偶尔像这样\n补充能量也不错吧。
0000000000000,手毬,プロデューサーのせいで、\n気がめいりそうです……,制作人这么说\n我都要忧郁了……
0000000000000,{user},大丈夫ですよ。あれだけレッスンを\nこなしているのですから。,没关系的。\n毕竟你已经完成了那么多课程。
0000000000000,{user},長期的に見れば、\n体重は減っていくはずです。,从长期来看\n体重肯定会下降的。
0000000000000,手毬,……ほっ。,……呼。
0000000000000,手毬,あ、あんまり不安になるようなこと、\n言わないでください。,请、请不要说那些\n让人不安的话啦。
0000000000000,手毬,私にとって……\nデリケートなことなんですから。,这对人家来说……\n是很敏感的问题呢。
0000000000000,{user},申し訳ありません。,抱歉。
0000000000000,手毬,それと……私が『甘いもの好き』だと\n思っていらっしゃるみたいですけど。,还有……您是不是觉得\n我“特别爱吃甜食”？
0000000000000,手毬,こってりした食事の方が\nもっと好きだと言っておきます！,其实我更喜欢吃\n油腻的食物啦！
0000000000000,{user},……な、なるほど。,……原、原来如此。
0000000000000,{user},参考になりました。\n覚えておきます。,很有参考价值\n我会记住的。
0000000000000,手毬,プロデューサー、見ていてください。,制作人请好好看着吧。
0000000000000,手毬,次はもっと、\nすごいライブをしてみせますから。,下次我一定会献上\n更精彩的演出。
info,adv_pstory_001_ttmr_ending-normal-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
