id,name,text,trans
0000000000000,あさり先生,{user}くん、\nきみたちが次に参加するのは、,{user}君，\n你们接下来要参加的是，
0000000000000,あさり先生,『N.I.A』の目玉となる、\n大きなオーディションです。,『N.I.A』的重头戏——\n一场大型选拔赛。
0000000000000,あさり先生,ファンの前で、\n本番同然のライブを行う――,在粉丝面前，\n进行如同正式演出般的现场表演——
0000000000000,あさり先生,まさしくファンとアイドルが一体と\nなって競い合う、勝負の場！,正是粉丝与偶像融为一体\n相互较量的决胜舞台！
0000000000000,あさり先生,ファン投票数の少ないアイドルには、\n参加資格さえ与えられません。,粉丝投票数不足的偶像，\n甚至连参赛资格都无法获得。
0000000000000,あさり先生,くれぐれも慎重に、参加する\nオーディションを選んでください。,请务必慎重选择\n要参加的选拔赛。
0000000000000,あさり先生,きみの担当アイドルにとって、,因为这可能会成为
0000000000000,あさり先生,運命の岐路に\nなるかもしれませんからね。,你负责的偶像\n命运的转折点。
info,adv_pstory_002_cmmn_before-audition-select-final-normal-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
