文件名,问题描述,原文,译文
adv_cidol-amao-3-002_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,――『Feel Jewel Dream』。,——《Feel Jewel Dream》
adv_cidol-amao-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『NEXT IDOL AUDITION』を,用这首歌在《NEXT IDOL AUDITION》
adv_cidol-amao-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,先輩たちが『Campus mode!!』を,看到前辈们帅气演唱
adv_cidol-amao-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』の,『Campus mode!!』的
adv_cidol-amao-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』の,『Campus mode!!』
adv_cidol-amao-3-007_02.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』を,『Campus mode!!』
adv_cidol-amao-3-007_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,麻央先輩に『Campus mode!!』の,能跟麻央前辈学
adv_cidol-amao-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』に,就能穿上
adv_cidol-amao-3-007_03.txt,应使用书名号'《》'代替日式引号'『』',『Campus mode!!』は、,『Campus mode!!』是一首
adv_cidol-amao-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,新しい『Campus mode!!』を,为大家展现全新的
adv_cidol-amao-3-007_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『Campus mode!!』を,或许会有
adv_cidol-fktn-3-000_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『できるできるできる、そうだ』,"""能做到能做到能做到 就是这样"""
adv_cidol-fktn-3-000_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『信じてくれる人がいる』,"""有人愿意相信你"""
adv_cidol-fktn-3-000_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『世界で一番可愛い』を自称してる,"自称""世界第一可爱""的偶像"
adv_cidol-fktn-3-000_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,……よっし。『あたしの歌』の,……好嘞。这就去练习
adv_cidol-fktn-3-006_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『楽しんできた経験』が求められます。,"充分""体验过节""的经验。"
adv_cidol-fktn-3-006_02.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『普通のクリスマス』も経験しておいた,确实应该先体验下
adv_cidol-fktn-3-006_03.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『普通のクリスマス』と呼ぶには、,"虽然说是体验""普通圣诞节"""
adv_cidol-fktn-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『特別なファンサ』を,"""特别版粉丝互动"""
adv_cidol-fktn-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,世界一可愛い『ファンサ』は、,"虽然""世界第一可爱的粉丝互动"""
adv_cidol-fktn-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『ファンサ』のテクニックを学び、,学习粉丝互动的技巧，
adv_cidol-fktn-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,常にベストな『ファンサ』を,要想随时随地展现最完美的互动，
adv_cidol-fktn-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,『ファンサ』カリキュラムは、,"""粉丝互动""课程，"
adv_cidol-fktn-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,えっ、『ファンサ』のレッスン？,哎？粉丝互动的课程？
adv_cidol-fktn-3-007_01.txt,应使用日式引号'『』'保持一致; 应使用日式引号'『』'保持一致,ぷ、プロデューサーの『ファンサ』は、,"噗，制作人先生的""粉丝互动""，"
